system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,65.0,1.0,17.0,19.0,7.0,99.0,79.0,94.0,26.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,12.0,9.0,504.0,20190216T102111_20190216T102131_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
1,65.0,1.0,21.0,16.0,12.0,128.0,95.0,106.0,15.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,15.0,11.0,499.0,20190216T102111_20190216T102131_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
2,59.0,111.0,80.0,76.0,205.0,330.0,201.0,193.0,99.0,117.0,104.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,35.0,21.0,683.0,20190422T102029_20190422T102029_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
3,59.0,114.0,82.0,77.0,202.0,340.0,194.0,199.0,105.0,117.0,105.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,35.0,20.0,686.0,20190422T102029_20190422T102029_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
4,96.0,184.0,88.0,65.0,168.0,397.0,228.0,199.0,126.0,141.0,136.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,41.0,24.0,1835.0,20190726T102031_20190726T102028_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
5,96.0,179.0,86.0,61.0,165.0,383.0,226.0,196.0,125.0,146.0,126.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,39.0,23.0,1832.0,20190726T102031_20190726T102028_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
6,65.0,25.0,19.0,21.0,68.0,137.0,99.0,108.0,36.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,14.0,11.0,454.0,20190216T102111_20190216T102131_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
7,102.0,199.0,86.0,61.0,178.0,390.0,230.0,201.0,130.0,151.0,127.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,40.0,24.0,2024.0,20190726T102031_20190726T102028_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
8,95.0,273.0,88.0,63.0,255.0,325.0,224.0,208.0,163.0,164.0,164.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,34.0,23.0,682.0,20190407T102021_20190407T102458_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
9,59.0,171.0,71.0,44.0,209.0,298.0,178.0,190.0,138.0,143.0,130.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,31.0,19.0,607.0,20190402T102029_20190402T102026_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
10,65.0,167.0,65.0,50.0,222.0,290.0,180.0,189.0,133.0,139.0,124.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,30.0,19.0,602.0,20190402T102029_20190402T102026_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
11,89.0,240.0,89.0,65.0,236.0,313.0,210.0,209.0,167.0,169.0,163.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,32.0,21.0,796.0,20190407T102021_20190407T102458_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
12,83.0,178.0,68.0,45.0,211.0,299.0,171.0,190.0,125.0,125.0,108.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,31.0,18.0,712.0,20190402T102029_20190402T102026_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
13,89.0,239.0,90.0,64.0,233.0,311.0,218.0,208.0,167.0,167.0,166.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,32.0,23.0,819.0,20190407T102021_20190407T102458_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
14,312.0,400.0,127.0,69.0,364.0,450.0,315.0,358.0,407.0,425.0,369.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,46.0,32.0,2842.0,20190825T102031_20190825T102430_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
15,59.0,146.0,84.0,78.0,225.0,357.0,203.0,205.0,110.0,122.0,109.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,36.0,20.0,655.0,20190422T102029_20190422T102029_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
16,65.0,174.0,66.0,53.0,136.0,236.0,161.0,160.0,92.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,23.0,16.0,1070.0,20190417T102031_20190417T102431_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
17,65.0,173.0,62.0,49.0,149.0,232.0,163.0,165.0,90.0,87.0,89.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,24.0,17.0,1061.0,20190417T102031_20190417T102431_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
18,95.0,316.0,58.0,73.0,364.0,219.0,140.0,180.0,76.0,92.0,98.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,23.0,15.0,560.0,20190102T102429_20190102T102505_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
19,95.0,316.0,59.0,63.0,355.0,191.0,161.0,172.0,77.0,92.0,82.0,0.0,0.0,0.0,0.0,0.0,6.0,34.0,21.0,16.0,564.0,20190102T102429_20190102T102505_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
20,354.0,745.0,575.0,368.0,784.0,991.0,729.0,751.0,865.0,916.0,1183.0,0.0,0.0,0.0,0.0,0.0,6.0,78.0,104.0,75.0,3428.0,20190626T102031_20190626T102028_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
21,354.0,700.0,566.0,374.0,691.0,883.0,628.0,719.0,836.0,932.0,947.0,0.0,0.0,0.0,0.0,0.0,6.0,70.0,90.0,64.0,3434.0,20190626T102031_20190626T102028_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
22,65.0,207.0,65.0,50.0,172.0,248.0,172.0,171.0,97.0,96.0,97.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,26.0,18.0,872.0,20190417T102031_20190417T102431_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
23,78.0,1.0,52.0,42.0,2.0,96.0,86.0,111.0,71.0,66.0,47.0,0.0,0.0,0.0,0.0,0.0,6.0,,10.0,8.0,2201.0,20191014T102031_20191014T102207_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
24,258.0,456.0,144.0,73.0,398.0,489.0,347.0,398.0,463.0,499.0,445.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,49.0,35.0,2450.0,20190825T102031_20190825T102430_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
25,258.0,459.0,144.0,75.0,421.0,497.0,356.0,393.0,478.0,506.0,453.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,51.0,36.0,2448.0,20190825T102031_20190825T102430_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
26,78.0,100.0,182.0,147.0,185.0,215.0,187.0,237.0,214.0,172.0,254.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,23.0,18.0,783.0,20191029T102039_20191029T102520_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
27,228.0,792.0,590.0,383.0,757.0,914.0,665.0,767.0,953.0,1060.0,1061.0,0.0,0.0,0.0,0.0,0.0,6.0,77.0,93.0,68.0,3348.0,20190626T102031_20190626T102028_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
28,78.0,84.0,199.0,163.0,197.0,238.0,187.0,258.0,231.0,205.0,281.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,26.0,20.0,794.0,20191029T102039_20191029T102520_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
29,60.0,148.0,114.0,94.0,205.0,282.0,197.0,232.0,146.0,166.0,161.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,29.0,21.0,682.0,20190512T102029_20190512T102248_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
30,60.0,160.0,117.0,92.0,193.0,285.0,204.0,233.0,145.0,165.0,158.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,29.0,21.0,680.0,20190512T102029_20190512T102248_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
31,222.0,566.0,127.0,121.0,484.0,535.0,360.0,366.0,254.0,263.0,207.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,55.0,37.0,2844.0,20190606T102031_20190606T102358_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
32,138.0,253.0,26.0,35.0,165.0,192.0,130.0,138.0,89.0,36.0,31.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,19.0,11.0,928.0,20191213T102421_20191213T102424_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
33,234.0,524.0,107.0,111.0,472.0,514.0,336.0,336.0,222.0,226.0,171.0,0.0,0.0,0.0,0.0,0.0,6.0,47.0,53.0,35.0,2828.0,20190606T102031_20190606T102358_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
34,63.0,168.0,115.0,94.0,217.0,288.0,200.0,235.0,149.0,169.0,162.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,30.0,22.0,669.0,20190512T102029_20190512T102248_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
35,102.0,2594.0,1846.0,1139.0,2666.0,1906.0,1350.0,1612.0,1875.0,1956.0,3054.0,20.0,0.0,0.0,0.0,0.0,6.0,255.0,195.0,138.0,2097.0,20190601T102029_20190601T102031_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
36,192.0,111.0,121.0,84.0,164.0,221.0,166.0,172.0,110.0,109.0,118.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,23.0,17.0,1531.0,20190820T102029_20190820T102459_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
37,168.0,156.0,126.0,85.0,185.0,246.0,189.0,187.0,139.0,142.0,150.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,25.0,19.0,1543.0,20190820T102029_20190820T102459_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
38,162.0,159.0,15.0,31.0,90.0,134.0,86.0,95.0,42.0,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,12.0,9.0,1007.0,20191213T102421_20191213T102424_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
39,114.0,6554.0,3963.0,3546.0,5944.0,5668.0,5552.0,6026.0,6103.0,6197.0,5884.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1780.0,20190616T102031_20190616T102027_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
40,168.0,151.0,25.0,30.0,111.0,75.0,94.0,89.0,21.0,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,9.0,9.0,1009.0,20191213T102421_20191213T102424_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
41,114.0,6776.0,3867.0,3426.0,5792.0,5616.0,5516.0,5951.0,6047.0,6117.0,5804.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1791.0,20190616T102031_20190616T102027_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
42,84.0,148.0,182.0,147.0,208.0,226.0,191.0,242.0,218.0,170.0,251.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,24.0,18.0,952.0,20191029T102039_20191029T102520_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
43,72.0,1.0,54.0,43.0,1.0,101.0,85.0,102.0,66.0,84.0,62.0,0.0,0.0,0.0,0.0,0.0,6.0,,12.0,10.0,1664.0,20191014T102031_20191014T102207_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
44,144.0,426.0,297.0,255.0,411.0,439.0,344.0,390.0,358.0,395.0,392.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,45.0,35.0,1667.0,20190711T102029_20190711T102032_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
45,228.0,553.0,122.0,119.0,474.0,530.0,352.0,356.0,258.0,276.0,219.0,0.0,0.0,0.0,0.0,0.0,6.0,49.0,54.0,36.0,2603.0,20190606T102031_20190606T102358_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
46,254.0,575.0,357.0,293.0,539.0,656.0,446.0,565.0,608.0,732.0,521.0,0.0,0.0,0.0,0.0,0.0,6.0,55.0,67.0,46.0,2328.0,20190830T102029_20190830T102552_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
47,72.0,1.0,55.0,42.0,1.0,97.0,91.0,107.0,76.0,77.0,61.0,0.0,0.0,0.0,0.0,0.0,6.0,,10.0,9.0,1655.0,20191014T102031_20191014T102207_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
48,258.0,684.0,285.0,248.0,522.0,645.0,423.0,531.0,562.0,654.0,496.0,0.0,0.0,0.0,0.0,0.0,6.0,54.0,66.0,43.0,2358.0,20190830T102029_20190830T102552_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
49,366.0,439.0,426.0,312.0,545.0,669.0,501.0,571.0,489.0,541.0,499.0,0.0,0.0,0.0,0.0,0.0,6.0,56.0,68.0,51.0,3112.0,20190611T102029_20190611T102030_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
50,162.0,397.0,290.0,248.0,383.0,417.0,331.0,362.0,320.0,367.0,358.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,43.0,34.0,1378.0,20190711T102029_20190711T102032_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
51,162.0,385.0,287.0,248.0,382.0,417.0,329.0,363.0,321.0,359.0,363.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,43.0,34.0,1382.0,20190711T102029_20190711T102032_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
52,108.0,9124.0,6314.0,5451.0,9784.0,9280.0,8888.0,9236.0,8791.0,8610.0,9464.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1890.0,20190701T102029_20190701T102032_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
53,156.0,1803.0,1550.0,1068.0,1904.0,1990.0,1692.0,1597.0,1891.0,2103.0,2798.0,16.0,0.0,0.0,0.0,0.0,6.0,195.0,203.0,171.0,2173.0,20190721T102029_20190721T102325_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
54,138.0,2462.0,1717.0,1186.0,1636.0,1886.0,1820.0,1709.0,2066.0,2275.0,2532.0,23.0,0.0,0.0,0.0,0.0,8.0,167.0,192.0,185.0,2178.0,20190721T102029_20190721T102325_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
55,102.0,580.0,191.0,162.0,477.0,509.0,380.0,397.0,247.0,259.0,250.0,0.0,0.0,0.0,0.0,0.0,6.0,49.0,52.0,39.0,613.0,20190507T102031_20190507T102226_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
56,108.0,518.0,181.0,105.0,429.0,502.0,325.0,419.0,349.0,340.0,239.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,52.0,34.0,1524.0,20190517T102031_20190517T102508_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
57,156.0,1800.0,1550.0,1066.0,1908.0,1992.0,1692.0,1589.0,1881.0,2098.0,2806.0,16.0,0.0,0.0,0.0,0.0,6.0,194.0,203.0,172.0,2172.0,20190721T102029_20190721T102325_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
58,296.0,534.0,347.0,293.0,498.0,624.0,415.0,546.0,563.0,680.0,461.0,0.0,0.0,0.0,0.0,0.0,6.0,52.0,64.0,43.0,2712.0,20190830T102029_20190830T102552_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
59,77.0,375.0,69.0,77.0,410.0,259.0,170.0,213.0,118.0,130.0,132.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,27.0,17.0,599.0,20190102T102429_20190102T102505_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
60,96.0,9388.0,5919.0,4969.0,8544.0,8224.0,8488.0,9358.0,9103.0,8811.0,8172.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2041.0,20190810T102029_20190810T102030_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
61,131.0,194.0,98.0,64.0,249.0,268.0,206.0,256.0,133.0,151.0,138.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,28.0,21.0,1457.0,20190221T102039_20190221T102520_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
62,108.0,550.0,190.0,163.0,454.0,494.0,371.0,391.0,232.0,240.0,230.0,0.0,0.0,0.0,0.0,0.0,6.0,47.0,51.0,38.0,684.0,20190507T102031_20190507T102226_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
63,108.0,536.0,192.0,161.0,462.0,495.0,356.0,388.0,234.0,242.0,225.0,0.0,0.0,0.0,0.0,0.0,6.0,47.0,51.0,37.0,675.0,20190507T102031_20190507T102226_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
64,120.0,9537.0,5882.0,4931.0,8640.0,8288.0,8528.0,9421.0,9141.0,8828.0,8192.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2061.0,20190810T102029_20190810T102030_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
65,126.0,9554.0,5846.0,5096.0,8928.0,8432.0,8512.0,9420.0,9134.0,8918.0,8296.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2049.0,20190810T102029_20190810T102030_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
66,131.0,182.0,94.0,61.0,267.0,280.0,215.0,262.0,139.0,146.0,118.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,29.0,22.0,1464.0,20190221T102039_20190221T102520_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
67,148.0,232.0,88.0,59.0,295.0,294.0,214.0,244.0,116.0,120.0,99.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,30.0,22.0,1219.0,20190221T102039_20190221T102520_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
68,65.0,6167.0,4050.0,3342.0,6224.0,5576.0,5312.0,5287.0,5071.0,4877.0,6016.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,769.0,20190313T102019_20190313T102552_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
